,issn,file.name,first.doi.x,journal.name.x,num.authors,year.x,intro.type,discussion.type,relevance,sentence,epub,Full.title,Title20,Category_name,,Approach
14145,0044-605X,PMC2628344.nxml,10.1186/1751-0147-50-50,Acta Vet Scand,2,2008,Section title,Section title,1, It follows that the present Q-study could not be replicated with the same farmers as participants because these farmers were likely to have reflected on the Q-sorting and the interviews making them 'different persons' than in the beginning of the study.,1751-0147,ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,PLANT & ANIMAL SCIENCE,,ES
550,0003-3472,PMC4758825.nxml,10.1016/j.anbehav.2015.12.007,Anim Behav,2,2016,Section title,Section title,," normalized mutual information: Danon, Diaz-Guilera, Duch, & Arenas, 2005) could also be used in a similar way to compare empirical and bootstrap replicate networks.",NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
551,0003-3472,PMC5113992.nxml,10.1016/j.anbehav.2016.08.010,Anim Behav,4,2016,None,Section title,," Future studies will be essential to determining these dynamics, especially those that can replicate seasonal change across multiple social groups or differentiate it between species.",NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
3448,0020-1812,PMC2839491.nxml,10.1007/s00040-010-0077-2,Insectes Soc,1,2010,None,Section title,,6 undertakers (a result consistent over five replicates with that colony).,1420-9098,INSECTES SOCIAUX,INSECT SOC,PLANT & ANIMAL SCIENCE,,
549,0003-3472,PMC4157325.nxml,10.1016/j.anbehav.2014.07.008,Anim Behav,5,2014,None,PubMed DTD,," Further, successfully replicating our data using simulated flocks has enabled us to describe a candidate model for exploring the interaction between forces of selection (such as predation or competition) and behavioural rules.",NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,
3450,0020-1812,PMC2701992.nxml,10.1007/s00040-009-0014-4,Insectes Soc,2,2009,PubMed DTD,PubMed DTD,, There was generally either evidence of widespread fighting and a high degree of mortality within a particular replicate or very low mortality and no evidence of fighting within a particular replicate.,1420-9098,INSECTES SOCIAUX,INSECT SOC,PLANT & ANIMAL SCIENCE,,
3451,0020-1812,PMC2701992.nxml,10.1007/s00040-009-0014-4,Insectes Soc,2,2009,PubMed DTD,PubMed DTD,,There was a great deal of variability among replicates within the same test concerning whether termites engaged in combat.,1420-9098,INSECTES SOCIAUX,INSECT SOC,PLANT & ANIMAL SCIENCE,,
3540,0021-8790,PMC4217384.nxml,10.1111/1365-2656.12127,J Anim Ecol,5,2014,None,PubMed DTD,, This change in feeding behaviour coincided with the period when virus released from the ingested OBs invades the larval midgut epithelial cells and replicates in their nuclei.,1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3541,0021-8790,PMC4217384.nxml,10.1111/1365-2656.12127,J Anim Ecol,5,2014,None,PubMed DTD,, Another explanation is that this is the most efficient mechanism by which the host can alter the blend of ingested food to bias it towards proteins; this would be an adaptive response if a protein-rich diet enhances resistance to the virus or limits the virus replication rate.,1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3542,0021-8790,PMC5098174.nxml,10.1111/1365-2656.12360,J Anim Ecol,5,2015,None,Section title,,"‘_parva absence, which could be considered a deficiency of the study design, this was due to the difficulty of finding true replicates of the invaded communities but with P.",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3543,0021-8790,PMC5098174.nxml,10.1111/1365-2656.12360,J Anim Ecol,5,2015,None,Section title,," This is important, as the greater replication and control provided in the mesocosms were advantageous in showing the increased dietary specialization in P.",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3544,0021-8790,PMC4354255.nxml,10.1111/1365-2656.12292,J Anim Ecol,6,2015,None,PubMed DTD,," Whilst we are unable to account for potential collinearity between prey species and experimental period, our use of study organism acclimatisation periods and controlled climate facilities, coupled with independence between study replicates, reduces such potential bias and we are confident that the differences observed reflect predator responses to the different prey species.",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3545,0021-8790,PMC5098174.nxml,10.1111/1365-2656.12360,J Anim Ecol,5,2015,None,Section title,,‘_parva as a model invasive species revealed that predicting ecological impacts that occur in wild systems following invasion can be reliably informed from small_„êscale experiments in mesocosms that are reduced in complexity but increased in control and replication.,1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
542,0003-3472,PMC4550429.nxml,10.1016/j.anbehav.2015.07.002,Anim Behav,7,2015,None,PubMed DTD,1, Establishing whether these patterns are robust and replicable will require many more studies.,NA,ANIMAL BEHAVIOUR,ANIM BEHAV,PLANT & ANIMAL SCIENCE,,ES
3547,0021-8790,PMC3840704.nxml,10.1111/1365-2656.12086,J Anim Ecol,4,2013,None,Section title,, We find it counter-intuitive to model only the random effects of study while ignoring the pseudo-replication resulting from shared evolutionary history.,1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3548,0021-8790,PMC5098174.nxml,10.1111/1365-2656.12360,J Anim Ecol,5,2015,None,Section title,," Indeed, this challenge of finding strong replicates in wild contexts was a primary reason why the mesocosm experiment was designed so that the trophic interactions of the species could be understood under simplified, replicated and controlled conditions.",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3549,0021-8790,PMC4988505.nxml,10.1111/1365-2656.12547,J Anim Ecol,3,2016,None,Section title,," This is more curious and might indicate differences in replication speed and tissue tropism, variation in antiviral response at the gut level or interference between virus particles.",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3550,0021-8790,PMC4979660.nxml,10.1111/1365-2656.12362,J Anim Ecol,3,2015,None,Section title,," When turnover in rare species is important and undersampling is not severe, the presence_„_absence metric, •_, is favoured due to superior performance in terms of independence of •±_„êdiversity (C1), probabilistic similarity (C3), independence of species replication (C14), measurement units (C15) and differences in abundance (C16).",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3551,0021-8790,PMC4832299.nxml,10.1111/1365-2656.12345,J Anim Ecol,6,2015,None,Section title,," Recent studies have reported interactions between sublethal doses of neonicotinoid pesticides and pathogens, with significant impacts on virus replication and host immunity (Di Prisco et‘_al.",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3552,0021-8790,PMC4354255.nxml,10.1111/1365-2656.12292,J Anim Ecol,6,2015,None,PubMed DTD,," Therefore, careful consideration is required when designing such experiments to reach an acceptable balance between practicability and the high number of treatment combinations and replication to ensure realistic predator_„_prey dynamics is captured.",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3553,0021-8790,PMC4988505.nxml,10.1111/1365-2656.12547,J Anim Ecol,3,2016,None,Section title,," One explanation for the decreased production of transmission stages could be that there is interference or exploitation competition between the variants, resulting in an overall reduction in virus replication and OB production.",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3554,0021-8790,PMC4879349.nxml,10.1111/1365-2656.12438,J Anim Ecol,7,2015,None,Section title,," Given the universal affect of temperature on microbial replication rates, anapyrexia is likely to act as a non_„êspecific mechanism of resistance that could be effective against numerous pathogens.",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
3555,0021-8790,PMC4988505.nxml,10.1111/1365-2656.12547,J Anim Ecol,3,2016,None,Section title,," The lack of a similar intermediate level of virulence in the baculovirus_„_lepidopteran interaction might relate to the‘_fact that infection and pathogen reproduction only take place in the larval stage, which means that the host can grow considerably and virus replication does not compete with other host processes.",1365-2656,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,PLANT & ANIMAL SCIENCE,,
8767,0022-0957,PMC3830495.nxml,10.1093/jxb/ert313,J Exp Bot,4,2013,None,Section title,, Our results show that local and cell-type-specific endoreplication can also induce excessive but proportional chloroplast replication.,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8768,0022-0957,PMC2955751.nxml,10.1093/jxb/erq244,J Exp Bot,3,2010,None,PubMed DTD,," With higher replication, which would allow greater statistical power, these indices may be useful for rapid screening of multiple cultivars of soybean for differential responsiveness to elevated CO or O.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8769,0022-0957,PMC3830495.nxml,10.1093/jxb/ert313,J Exp Bot,4,2013,None,Section title,," Thus, in addition to restricting GMC symmetric division, FLP and MYB88 also conditionally limit plastid replication.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8770,0022-0957,PMC2803224.nxml,10.1093/jxb/erp334,J Exp Bot,12,2010,PubMed DTD,PubMed DTD,,"82%, and the reproducibility of replicate hybridizations is 95%, suggesting that the microarray chips containing rice cDNAs of 500_„_bp in length can be effectively applied for bamboo heterologous hybridization.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8771,0022-0957,PMC4449535.nxml,10.1093/jxb/erv119,J Exp Bot,8,2015,None,Section title,,"DNA demethylation may take place as a passive process due to a lack of methylation maintenance during several cycles of DNA replication, or as an active mechanism (in the absence of replication) mediated by DNA glycosylase domain-containing proteins that have the capacity to erase 5-mC (RoldÍçn-Arjona and Ariza, 2009).",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8772,0022-0957,PMC2882256.nxml,10.1093/jxb/erq088,J Exp Bot,3,2010,None,PubMed DTD,," The well-bound cpDNA is partially single stranded, consistent with an earlier proposal that the DNA that remains in the well is a branched form of replicating DNA that serves as the segregating genetic unit, the chromosome, in both chloroplasts (Oldenburg and Bendich, 2004a, b) and mitochondria (Oldenburg and Bendich, 1996).",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8773,0022-0957,PMC4896358.nxml,10.1093/jxb/erw035,J Exp Bot,8,2016,None,Section title,, The effectiveness of increased replication on heritability is illustrated by the QTL analysis that produced a relatively high heritability of 0.,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8774,0022-0957,PMC2486475.nxml,10.1093/jxb/ern141,J Exp Bot,4,2008,PubMed DTD,PubMed DTD,," However, truncations of replicase proteins p28 or p88 inhibited replication of TCV_„_GFP•îCP.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8775,0022-0957,PMC4783375.nxml,10.1093/jxb/erw021,J Exp Bot,10,2016,None,Section title,," Thus, copy number variants in the F-M locus are likely to have arisen from replication slippage or retrotransposition (Hastings et al.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8776,0022-0957,PMC4762383.nxml,10.1093/jxb/erv537,J Exp Bot,6,2016,None,Section title,, Template switching between partially replicated molecules or replication slippage during re-synthesis could have produced the additional sequences of plant R1.,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8777,0022-0957,PMC4588876.nxml,10.1093/jxb/erv322,J Exp Bot,10,2015,None,Section title,," 3B; Supplementary Table S1 at JXB online), including molecular chaperones (spots 30_„_37), protein biosynthesis and degradation (spots 38_„_43), RNA processing (spots 49 and 50), transcription factors (spots 51 and 52), and nucleotide metabolism (spots 60 and 61), and covered a wide range of DNA replication, RNA transcription, and protein synthesis/processing.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8778,0022-0957,PMC2882260.nxml,10.1093/jxb/erq097,J Exp Bot,5,2010,None,PubMed DTD,, Root diameter could not be measured for all the replicates of each genotype because of the degeneration and mechanical damage to the cortex and epidermis.,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8779,0022-0957,PMC2692019.nxml,10.1093/jxb/erp135,J Exp Bot,12,2009,None,PubMed DTD,,", 2003), studies in yeast indicate that condensin is required for the arrest caused by DNA replication inhibition, the activation of checkpoints, and DNA repair (Aono et al.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8780,0022-0957,PMC3170550.nxml,10.1093/jxb/err163,J Exp Bot,5,2011,None,PubMed DTD,, The resulting TGS was also restricted to cells in the vicinity of leaf veins where the virus replicated (Himber et al.,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8781,0022-0957,PMC4507773.nxml,10.1093/jxb/erv243,J Exp Bot,8,2015,None,Section title,,Probe sets with significant differential expression (DEPs) between LFPs and HFPs were selected in a two-step analysis and under the assumption that individuals of the LFP and HFP groups can be treated as four biological replicates (pseudoreplicates).,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8782,0022-0957,PMC5441860.nxml,10.1093/jxb/erx016,J Exp Bot,6,2017,None,Section title,," We speculate that numerous DSBs were occurring during DNA replication, and accumulated in mutant cells; then stalled replication forks were formed and finally led to missegregation and failed mitosis.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8783,0022-0957,PMC2486477.nxml,10.1093/jxb/ern143,J Exp Bot,8,2008,PubMed DTD,PubMed DTD,," Nef is one of the four accessory proteins of the human immunodeficiency virus and is essential for viral replication (Das and Jameel, 2005).",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8784,0022-0957,PMC5441860.nxml,10.1093/jxb/erx016,J Exp Bot,6,2017,None,Section title,," Our results indicate that the cells could finish genome replication but could not make the transition from the G2 to the M phase, resulting in more polyploid cells in the mutants (Fig.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8785,0022-0957,PMC2882256.nxml,10.1093/jxb/erq088,J Exp Bot,3,2010,None,PubMed DTD,," If cpDNA replication occurs through a recombination-dependent mechanism (Oldenburg and Bendich, 2004a, b), cpDNA replication might be compromised in cprecA mutants.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8786,0022-0957,PMC4588876.nxml,10.1093/jxb/erv322,J Exp Bot,10,2015,None,Section title,," Eventually they increased the amount and abundance of mitochondrial proteins, including elongation factor G (spot 42), RNA helicase (spots 49 and 50), DNA replication licensing factor (spot 60), and site-specific recombinase (spot 61).",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8787,0022-0957,PMC4762385.nxml,10.1093/jxb/erv540,J Exp Bot,17,2016,None,Section title,," Another comprehensive and precise study of the RPA1 family suggested that the ACE (composed of RPA1A, RPA1C, and RPA1E) group is involved in DNA repair/recombination, whereas the BD (RPA1B and RPA1D) group promotes genomic DNA replication activities.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8788,0022-0957,PMC4783360.nxml,10.1093/jxb/erv566,J Exp Bot,9,2016,None,Section title,,"Duplication diversified the function of HAP family genesThree mechanisms contribute to the expansion of gene families_„îtandem duplication, large-scale block duplication (segmental duplication), and transposition events, such as retro-transposition and replicative transposition (Kong et al.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8789,0022-0957,PMC3504502.nxml,10.1093/jxb/ers309,J Exp Bot,9,2012,None,Section title,," In addition, shoots of soil-grown _„_P atpap12/atpap26 plants rapidly turned purple, reflecting their anthocyanin accumulation, a typical symptom of severe P stress (Plaxton and Tran, 2011); the leaf anthocyanin concentration of the soil-grown _„_P Col-0 and atpap12/atpap26 plants was 70‘±8 and 900‘±12 nmol mg_„_1 of fresh weight, respectively (means ‘±SE of duplicate determinations on three biological replicates).",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8790,0022-0957,PMC4493790.nxml,10.1093/jxb/erv283,J Exp Bot,7,2015,None,Section title,," The following criteria were used: for each set of reactions, there were at least three replicates with efficiencies between 90 and 110% and C  values within 0.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8791,0022-0957,PMC5447894.nxml,10.1093/jxb/erx104,J Exp Bot,8,2017,None,Section title,," These differences might be the consequence of different sampling procedures [root hair scraping in maize versus FACS (fluorescence-activated cell sorting) of protoplasts in Arabidopsis], numbers of biological replications and statistical procedures (linear mixed model from in maize versus read number cut-off in Arabidopsis)Functional annotation of the transcriptome illustrates high energy demand of root hairsRoot hairs are highly specialized cells, and as such show a functionally specialized transcriptome.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8792,0022-0957,PMC2955753.nxml,10.1093/jxb/erq248,J Exp Bot,2,2010,None,PubMed DTD,,A sequence encoding a DNA replication factor complex-related protein (Contig7346-1) mapped at the centre of the QTL peak for Slg4.,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8793,0022-0957,PMC2486475.nxml,10.1093/jxb/ern141,J Exp Bot,4,2008,PubMed DTD,PubMed DTD,," Using the TCV-based VIRS assay, mutagenesis, and complementation analysis, it was shown that only replicating, but not non-replicating, TCV-based vectors could initiate VIRS, and that host cellular silencing trafficking machinery could make use of TCV gene functions for cell-to-cell spread of RNA silencing.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8794,0022-0957,PMC3830495.nxml,10.1093/jxb/ert313,J Exp Bot,4,2013,None,Section title,," However, the expression of other genes that regulate replication, such as PCNA1 and some ORCs and MCMs, was significantly up-regulated in the flp-1 myb88 cdkb1;1 cdkb1;2 quadruple mutant, but not in either double mutant (flp-1 myb88 or cdkb1;1 cdkb1;2), profiles consistent with guard cell endoreplication only occurring in flp myb88 after a mitotic block.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8795,0022-0957,PMC3638821.nxml,10.1093/jxb/ert054,J Exp Bot,5,2013,None,Section title,, Hierarchical sample clustering also grouped the biological replicates together (Fig.,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8796,0022-0957,PMC4449535.nxml,10.1093/jxb/erv119,J Exp Bot,8,2015,None,Section title,," aegyptiaca, Mayer and Bar-Nun (1993) demonstrated a steady rate of thymidine incorporation during conditioning without any change in total DNA, indicating that incorporation was not due to any DNA replicative synthesis.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8797,0022-0957,PMC3170561.nxml,10.1093/jxb/err193,J Exp Bot,4,2011,None,PubMed DTD,,"Interestingly, sediment pO at some points during the day exceeded that of intra-plant pO, a phenomenon observed in all four replicate pools (Fig.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8798,0022-0957,PMC2955751.nxml,10.1093/jxb/erq244,J Exp Bot,3,2010,None,PubMed DTD,," Despite a significant season-wide stimulation of NIR/red by elevated CO, there were no significant CO effects on individual dates, indicating that NIR/red used at the present replication level may not be sensitive enough to detect delayed senescence caused by elevated CO.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8799,0022-0957,PMC3830495.nxml,10.1093/jxb/ert313,J Exp Bot,4,2013,None,Section title,," However, it cannot be ruled out that the enhanced number of chloroplasts in the quadruple mutant might result from unknown factors in addition to or instead of endoreplication.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8800,0022-0957,PMC3504502.nxml,10.1093/jxb/ers309,J Exp Bot,9,2012,None,Section title,,"09 ‘µmol g_„_1 of fresh weight, respectively (means ‘±SE of duplicate determinations on three biological replicates).",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8801,0022-0957,PMC3192998.nxml,10.1093/jxb/err130,J Exp Bot,3,2011,None,Section title,, Microarray signal data from the two biological replicates were highly correlated (r __â0.,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8802,0022-0957,PMC3830495.nxml,10.1093/jxb/ert313,J Exp Bot,4,2013,None,Section title,," However, stomata do not normally endoreplicate, consistent with their substantively reduced size compared with other cell types (Melaragno et al.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8803,0022-0957,PMC4896358.nxml,10.1093/jxb/erw035,J Exp Bot,8,2016,None,Section title,,84 through the use of six replicates.,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8804,0022-0957,PMC4753847.nxml,10.1093/jxb/erv470,J Exp Bot,6,2016,None,Section title,, These accessions had no nematode galls in the six replicates of the 5-week experiment (Fig.,1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8805,0022-0957,PMC4566980.nxml,10.1093/jxb/erv299,J Exp Bot,7,2015,None,Section title,," Association of a cognate or transreplicative betasatellite has been found to be ubiquitous in monopartite geminivirus-infected yellow-veined bhendi, croton, eupatorium, and malvastrum plants.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8806,0022-0957,PMC4449535.nxml,10.1093/jxb/erv119,J Exp Bot,8,2015,None,Section title,," latifolia, DNA demethylation that occurred during germination took place in a non-replicative process (Zluvova et al.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8807,0022-0957,PMC4588875.nxml,10.1093/jxb/erv315,J Exp Bot,7,2015,None,Section title,," Negative effects of Phe, Pro or Met on fresh weights of ZmAAP4-OE seedlings were in sharp contrast to positive effects of these three amino acids on the same measurement of ZmVAAT3-OE seedlings (Supplementary Tables S9, S10), implying over-uptake of Phe, Pro or Met due to a higher transport efficiency of ZmAAP4 than that of ZmVAAT3, given the consistent results from three representative biological replicates.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8808,0022-0957,PMC4765791.nxml,10.1093/jxb/erv419,J Exp Bot,6,2015,None,Section title,," Besides strand slippage, DNA single- or double-stranded breaks are also required for the generation of small indels as specialized translesion synthesis polymerases are capable of bypassing DNA lesions without repairing them, which allows replication on damaged DNA substrates and, in some cases, to promote mutagenic DNA synthesis (Waters et al.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
8809,0022-0957,PMC5441860.nxml,10.1093/jxb/erx016,J Exp Bot,6,2017,None,Section title,," In the smc6 mutant, similar abnormal joint molecules (JMs) accumulated at the collapsed replication fork, correlating with chromosome missegregation.",1460-2431,JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,PLANT & ANIMAL SCIENCE,,
